,period,state,stateName,timePeriod,sector,sectorName,all-other-costs,customer-incentive,energy-savings,potential-peak-savings,all-other-costs-units,customer-incentive-units,energy-savings-units,potential-peak-savings-units
830,2019,NE,Nebraska,Reporting Year,TOT,all sectors,1104,5916,64364,14.3,thousand dollars,thousand dollars,megawatthours,megawatts
831,2019,ND,North Dakota,Reporting Year,TOT,all sectors,62,94,3640,6.6,thousand dollars,thousand dollars,megawatthours,megawatts
832,2019,NC,North Carolina,Reporting Year,TOT,all sectors,64578,99344,1454102,380.8,thousand dollars,thousand dollars,megawatthours,megawatts
833,2019,MT,Montana,Reporting Year,TOT,all sectors,8031,6913,88029,5.7,thousand dollars,thousand dollars,megawatthours,megawatts
834,2019,MS,Mississippi,Reporting Year,TOT,all sectors,6491,10092,76177,15.8,thousand dollars,thousand dollars,megawatthours,megawatts
835,2019,MO,Missouri,Reporting Year,TOT,all sectors,40170,57613,624668,155.7,thousand dollars,thousand dollars,megawatthours,megawatts
836,2019,MN,Minnesota,Reporting Year,TOT,all sectors,62014,71636,863599,189.2,thousand dollars,thousand dollars,megawatthours,megawatts
837,2019,MI,Michigan,Reporting Year,TOT,all sectors,173623,72620,1393370,292.1,thousand dollars,thousand dollars,megawatthours,megawatts
838,2019,ME,Maine,Reporting Year,TOT,all sectors,9772,26277,155451,27.3,thousand dollars,thousand dollars,megawatthours,megawatts
839,2019,MD,Maryland,Reporting Year,TOT,all sectors,54012,118503,743446,140.2,thousand dollars,thousand dollars,megawatthours,megawatts
840,2019,MA,Massachusetts,Reporting Year,TOT,all sectors,142421,479347,1621941,246.4,thousand dollars,thousand dollars,megawatthours,megawatts
841,2019,LA,Louisiana,Reporting Year,TOT,all sectors,9359,11872,104324,24.6,thousand dollars,thousand dollars,megawatthours,megawatts
842,2019,KY,Kentucky,Reporting Year,TOT,all sectors,18236,8958,165416,28.2,thousand dollars,thousand dollars,megawatthours,megawatts
843,2019,KS,Kansas,Reporting Year,TOT,all sectors,81,227,322,6,thousand dollars,thousand dollars,megawatthours,megawatts
844,2019,IN,Indiana,Reporting Year,TOT,all sectors,57258,50002,788630,165.5,thousand dollars,thousand dollars,megawatthours,megawatts
845,2019,IL,Illinois,Reporting Year,TOT,all sectors,133247,277392,2467987,321.7,thousand dollars,thousand dollars,megawatthours,megawatts
846,2019,ID,Idaho,Reporting Year,TOT,all sectors,25810,28277,249287,464.1,thousand dollars,thousand dollars,megawatthours,megawatts
847,2019,IA,Iowa,Reporting Year,TOT,all sectors,21080,54476,434888,102.2,thousand dollars,thousand dollars,megawatthours,megawatts
848,2019,HI,Hawaii,Reporting Year,TOT,all sectors,9959,17840,130843,21.4,thousand dollars,thousand dollars,megawatthours,megawatts
849,2019,GA,Georgia,Reporting Year,TOT,all sectors,19393,24697,421164,72.7,thousand dollars,thousand dollars,megawatthours,megawatts
850,2019,FL,Florida,Reporting Year,TOT,all sectors,59475,39450,320293,289.7,thousand dollars,thousand dollars,megawatthours,megawatts
851,2019,DE,Delaware,Reporting Year,TOT,all sectors,170,11864,6761,6.9,thousand dollars,thousand dollars,megawatthours,megawatts
852,2019,DC,District of Columbia,Reporting Year,TOT,all sectors,9971,6570,140408,20,thousand dollars,thousand dollars,megawatthours,megawatts
853,2019,CT,Connecticut,Reporting Year,TOT,all sectors,58566,105452,430102,63,thousand dollars,thousand dollars,megawatthours,megawatts
854,2019,CO,Colorado,Reporting Year,TOT,all sectors,30181,71114,726468,131.2,thousand dollars,thousand dollars,megawatthours,megawatts
855,2019,CA,California,Reporting Year,TOT,all sectors,489878,477971,2740112,573.6,thousand dollars,thousand dollars,megawatthours,megawatts
856,2019,AZ,Arizona,Reporting Year,TOT,all sectors,36085,50089,926080,264.6,thousand dollars,thousand dollars,megawatthours,megawatts
857,2019,AR,Arkansas,Reporting Year,TOT,all sectors,19779,45550,312464,64.6,thousand dollars,thousand dollars,megawatthours,megawatts
858,2019,AL,Alabama,Reporting Year,TOT,all sectors,6558,1130,11173,6.1,thousand dollars,thousand dollars,megawatthours,megawatts
859,2019,AK,Alaska,Reporting Year,TOT,all sectors,24,0,300,.1,thousand dollars,thousand dollars,megawatthours,megawatts
860,2019,WY,Wyoming,Reporting Year,RES,residential,1298,533,10001,2.5,thousand dollars,thousand dollars,megawatthours,megawatts
861,2019,WV,West Virginia,Reporting Year,RES,residential,2677,1233,25268,3.2,thousand dollars,thousand dollars,megawatthours,megawatts
862,2019,WI,Wisconsin,Reporting Year,RES,residential,15385,25843,273576,34.7,thousand dollars,thousand dollars,megawatthours,megawatts
863,2019,WA,Washington,Reporting Year,RES,residential,21216,56987,320155,356.2,thousand dollars,thousand dollars,megawatthours,megawatts
864,2019,VT,Vermont,Reporting Year,RES,residential,8890,14292,48180,11.4,thousand dollars,thousand dollars,megawatthours,megawatts
865,2019,VA,Virginia,Reporting Year,RES,residential,5588,6792,79403,7.8,thousand dollars,thousand dollars,megawatthours,megawatts
866,2019,UT,Utah,Reporting Year,RES,residential,6999,8049,92941,17.3,thousand dollars,thousand dollars,megawatthours,megawatts
867,2019,OH,Ohio,Reporting Year,RES,residential,38343,50085,823322,130.6,thousand dollars,thousand dollars,megawatthours,megawatts
868,2019,NY,New York,Reporting Year,RES,residential,76499,127682,852576,131.3,thousand dollars,thousand dollars,megawatthours,megawatts
869,2019,NV,Nevada,Reporting Year,RES,residential,8075,47,51426,13.7,thousand dollars,thousand dollars,megawatthours,megawatts
870,2019,NM,New Mexico,Reporting Year,RES,residential,6923,9863,79809,18.5,thousand dollars,thousand dollars,megawatthours,megawatts
871,2019,NJ,New Jersey,Reporting Year,RES,residential,18652,78197,298297,34.2,thousand dollars,thousand dollars,megawatthours,megawatts
872,2019,NH,New Hampshire,Reporting Year,RES,residential,3518,18038,34650,8.1,thousand dollars,thousand dollars,megawatthours,megawatts
873,2019,NE,Nebraska,Reporting Year,RES,residential,477,2510,5861,3.2,thousand dollars,thousand dollars,megawatthours,megawatts
874,2019,ND,North Dakota,Reporting Year,RES,residential,19,27,510,.3,thousand dollars,thousand dollars,megawatthours,megawatts
875,2019,NC,North Carolina,Reporting Year,RES,residential,48519,60604,1098280,302.7,thousand dollars,thousand dollars,megawatthours,megawatts
876,2019,MT,Montana,Reporting Year,RES,residential,4101,1717,29265,5.4,thousand dollars,thousand dollars,megawatthours,megawatts
877,2019,MS,Mississippi,Reporting Year,RES,residential,4695,4501,34466,8.6,thousand dollars,thousand dollars,megawatthours,megawatts
878,2019,MO,Missouri,Reporting Year,RES,residential,26808,27719,280393,70.6,thousand dollars,thousand dollars,megawatthours,megawatts
879,2019,MN,Minnesota,Reporting Year,RES,residential,25646,24360,277822,86.2,thousand dollars,thousand dollars,megawatthours,megawatts
880,2019,MI,Michigan,Reporting Year,RES,residential,84338,21745,546444,104,thousand dollars,thousand dollars,megawatthours,megawatts
881,2019,ME,Maine,Reporting Year,RES,residential,2040,5946,40151,3.6,thousand dollars,thousand dollars,megawatthours,megawatts
882,2019,MD,Maryland,Reporting Year,RES,residential,32760,50286,462401,87.1,thousand dollars,thousand dollars,megawatthours,megawatts
883,2019,MA,Massachusetts,Reporting Year,RES,residential,86532,282672,923161,144.8,thousand dollars,thousand dollars,megawatthours,megawatts
884,2019,LA,Louisiana,Reporting Year,RES,residential,4335,5912,44803,16.5,thousand dollars,thousand dollars,megawatthours,megawatts
885,2019,KY,Kentucky,Reporting Year,RES,residential,14733,2901,25538,2.4,thousand dollars,thousand dollars,megawatthours,megawatts
